Number of temperatures:	1
Dimension of temperature values:	1
Number of lambda values:	21
T    	    298.0000
lambda    	      1.0000      0.7000      0.5000      0.3500      0.2500      0.1800      0.1300      0.0890      0.0630      0.0440      0.0310      0.0220      0.0160      0.0110      0.0080      0.0057      0.0040      0.0028      0.0020      0.0014      0.0001
 s (RE-EDS)    	      1.0000      0.7000      0.5000      0.3500      0.2500      0.1800      0.1300      0.0890      0.0630      0.0440      0.0310      0.0220      0.0160      0.0110      0.0080      0.0057      0.0040      0.0028      0.0020      0.0014      0.0001
 eir(s), numstate=1 (RE-EDS)    	      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
 eir(s), numstate=2 (RE-EDS)    	      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
 eir(s), numstate=3 (RE-EDS)    	      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
 eir(s), numstate=4 (RE-EDS)    	      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000
 eir(s), numstate=5 (RE-EDS)    	      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000

#   ID partner    run           li           Ti         Epoti           lj           Tj          Epotj              p       s      si(eds)      sj(eds)
     1      2     1       1.0000     298.0000          -986.1121       0.7000     298.0000          -986.1121       1.0000   1        1.0000       0.7000
     2      1     1       0.7000     298.0000          -986.1121       1.0000     298.0000          -986.1121       1.0000   1        0.7000       1.0000
     3      4     1       0.5000     298.0000          -986.1121       0.3500     298.0000          -986.1121       1.0000   1        0.5000       0.3500
     4      3     1       0.3500     298.0000          -986.1121       0.5000     298.0000          -986.1121       1.0000   1        0.3500       0.5000
     5      6     1       0.2500     298.0000          -986.1121       0.1800     298.0000          -986.1121       1.0000   1        0.2500       0.1800
     6      5     1       0.1800     298.0000         -1061.0767       0.2500     298.0000         -1061.0767       1.0000   1        0.1800       0.2500
     7      8     1       0.1300     298.0000          -992.9311       0.0890     298.0000          -992.9311       1.0000   1        0.1300       0.0890
     8      7     1       0.0890     298.0000          -938.9577       0.1300     298.0000          -938.9577       1.0000   1        0.0890       0.1300
     9     10     1       0.0630     298.0000         -1007.7171       0.0440     298.0000         -1007.7171       1.0000   1        0.0630       0.0440
    10      9     1       0.0440     298.0000          -908.3992       0.0630     298.0000          -908.3992       1.0000   1        0.0440       0.0630
    11     12     1       0.0310     298.0000          -989.9383       0.0220     298.0000          -990.0297       0.9265   1        0.0310       0.0220
    12     11     1       0.0220     298.0000          -967.5990       0.0310     298.0000          -967.3185       0.9265   1        0.0220       0.0310
    13     14     1       0.0160     298.0000          -959.1206       0.0110     298.0000          -971.1395       0.0000   0        0.0160       0.0110
    14     13     1       0.0110     298.0000         -1079.9582       0.0160     298.0000         -1037.4934       0.0000   0        0.0110       0.0160
    15     16     1       0.0080     298.0000         -1081.6807       0.0057     298.0000         -1259.5603       0.6597   1        0.0080       0.0057
    16     15     1       0.0057     298.0000         -1269.7700       0.0080     298.0000         -1090.8598       0.6597   1        0.0057       0.0080
    17     18     1       0.0040     298.0000         -1574.2936       0.0028     298.0000         -1993.6989       1.0000   1        0.0040       0.0028
    18     17     1       0.0028     298.0000         -1979.5343       0.0040     298.0000         -1560.5060       1.0000   1        0.0028       0.0040
    19     20     1       0.0020     298.0000         -2481.7723       0.0014     298.0000         -3332.9624       0.8788   1        0.0020       0.0014
    20     19     1       0.0014     298.0000         -3381.9865       0.0020     298.0000         -2530.4763       0.8788   1        0.0014       0.0020
    21     21     1       0.0001     298.0000        -40344.4959       0.0001     298.0000        -40344.4959       0.0000   0        0.0001       0.0001
     1      1     2       1.0000     298.0000          -953.4656       1.0000     298.0000          -953.4656       0.0000   0        1.0000       1.0000
     2      3     2       0.7000     298.0000          -953.4656       0.5000     298.0000          -953.4656       1.0000   1        0.7000       0.5000
     3      2     2       0.5000     298.0000          -953.4656       0.7000     298.0000          -953.4656       1.0000   1        0.5000       0.7000
     4      5     2       0.3500     298.0000          -953.4656       0.2500     298.0000          -953.4656       1.0000   1        0.3500       0.2500
     5      4     2       0.2500     298.0000          -968.1381       0.3500     298.0000          -968.1381       1.0000   1        0.2500       0.3500
     6      7     2       0.1800     298.0000         -1006.8496       0.1300     298.0000         -1006.8496       1.0000   1        0.1800       0.1300
     7      6     2       0.1300     298.0000         -1006.4980       0.1800     298.0000         -1006.4980       1.0000   1        0.1300       0.1800
     8      9     2       0.0890     298.0000         -1019.9977       0.0630     298.0000         -1019.9977       1.0000   1        0.0890       0.0630
     9      8     2       0.0630     298.0000          -997.2691       0.0890     298.0000          -997.2691       1.0000   1        0.0630       0.0890
    10     11     2       0.0440     298.0000         -1067.0677       0.0310     298.0000         -1067.0681       0.9848   1        0.0440       0.0310
    11     10     2       0.0310     298.0000          -987.3870       0.0440     298.0000          -987.3487       0.9848   1        0.0310       0.0440
